run_id,methyl_weight,backbone_lr_mult,label_smooth,use_focal,focal_gamma,natural_recovery,overall_accuracy,f1_valine
0,2.0,0.05,0.05,False,2.0,0.2988505747126437,0.2611111111111111,0.0
1,2.0,0.05,0.05,True,2.0,0.30779054916985954,0.2677777777777778,0.0
2,2.0,0.05,0.1,False,2.0,0.2988505747126437,0.26222222222222225,0.0
3,2.0,0.05,0.1,True,2.0,0.3116219667943806,0.27111111111111114,0.0
4,2.0,0.1,0.05,False,2.0,0.29246487867177523,0.2588888888888889,0.0
5,2.0,0.1,0.05,True,2.0,0.31545338441890164,0.27444444444444444,0.0
6,2.0,0.1,0.1,False,2.0,0.28991060025542786,0.25555555555555554,0.0
7,2.0,0.1,0.1,True,2.0,0.31800766283524906,0.27666666666666667,0.0
8,3.0,0.05,0.05,False,2.0,0.28991060025542786,0.25333333333333335,0.0
9,3.0,0.05,0.05,True,2.0,0.3128991060025543,0.2722222222222222,0.0
10,3.0,0.05,0.1,False,2.0,0.29246487867177523,0.25555555555555554,0.0
11,3.0,0.05,0.1,True,2.0,0.3128991060025543,0.2722222222222222,0.0
12,3.0,0.1,0.05,False,2.0,0.2835249042145594,0.2511111111111111,0.0
13,3.0,0.1,0.05,True,2.0,0.3103448275862069,0.27,0.0
14,3.0,0.1,0.1,False,2.0,0.2835249042145594,0.2511111111111111,0.0
15,3.0,0.1,0.1,True,2.0,0.31417624521072796,0.2733333333333333,0.0
16,4.0,0.05,0.05,False,2.0,0.2822477650063857,0.24888888888888888,0.0
17,4.0,0.05,0.05,True,2.0,0.3116219667943806,0.27111111111111114,0.0
18,4.0,0.05,0.1,False,2.0,0.280970625798212,0.2477777777777778,0.0
19,4.0,0.05,0.1,True,2.0,0.3128991060025543,0.2722222222222222,0.0
20,4.0,0.1,0.05,False,2.0,0.2796934865900383,0.2477777777777778,0.0
21,4.0,0.1,0.05,True,2.0,0.3116219667943806,0.2733333333333333,0.0
22,4.0,0.1,0.1,False,2.0,0.2796934865900383,0.2477777777777778,0.0
23,4.0,0.1,0.1,True,2.0,0.3090676883780332,0.2688888888888889,0.0
