,precision,recall,f1-score,support
A,0.7428571428571429,0.8176100628930818,0.7784431137724551,159.0
C,0.14705882352941177,0.15625,0.15151515151515152,32.0
D,0.15384615384615385,0.07692307692307693,0.10256410256410257,26.0
E,0.03333333333333333,0.027777777777777776,0.0303030303030303,36.0
F,0.0,0.0,0.0,35.0
G,0.6388888888888888,0.6216216216216216,0.6301369863013699,37.0
H,0.12244897959183673,0.13953488372093023,0.13043478260869565,43.0
I,0.20833333333333334,0.17857142857142858,0.1923076923076923,28.0
K,0.0,0.0,0.0,32.0
L,0.11764705882352941,0.21428571428571427,0.15189873417721517,28.0
M,0.07142857142857142,0.125,0.09090909090909091,24.0
N,0.07142857142857142,0.08,0.07547169811320756,25.0
P,0.3125,0.8333333333333334,0.45454545454545453,36.0
Q,0.0,0.0,0.0,31.0
R,0.2,0.05714285714285714,0.08888888888888888,35.0
S,0.2222222222222222,0.12903225806451613,0.16326530612244897,31.0
T,0.34615384615384615,0.2571428571428571,0.29508196721311475,35.0
V,0.15517241379310345,0.32142857142857145,0.20930232558139536,28.0
W,0.08,0.044444444444444446,0.05714285714285715,45.0
Y,0.25,0.21621621621621623,0.2318840579710145,37.0
c,0.0,0.0,0.0,4.0
d,0.09090909090909091,0.14285714285714285,0.1111111111111111,14.0
e,0.0,0.0,0.0,7.0
f,0.0,0.0,0.0,7.0
h,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
i,0.2,0.09090909090909091,0.12500000000000003,11.0
l,0.11764705882352941,0.3333333333333333,0.1739130434782609,6.0
m,0.0,0.0,0.0,7.0
q,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
r,0.0,0.0,0.0,7.0
s,0.0,0.0,0.0,5.0
t,0.0,0.0,0.0,15.0
v,0.16666666666666666,0.18181818181818182,0.17391304347826086,11.0
y,0.2857142857142857,0.25,0.26666666666666666,8.0
accuracy,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.2866666666666667
macro avg,0.14681859408586104,0.1639120773606457,0.14516704402730435,900.0
weighted avg,0.26038225215511995,0.2866666666666667,0.26312267560892155,900.0
